movie_name,movie_class,movie_region,movie_time,movie_sorce,movie_people
肖申克的救赎,犯罪 剧情,美国,1994,9.7,2860754
霸王别姬,剧情 爱情 同性,中国大陆中国香港,1993,9.6,2115239
阿甘正传,剧情 爱情,美国,1994,9.5,2135446
泰坦尼克号,剧情 爱情 灾难,美国墨西哥,1997,9.5,2161781
这个杀手不太冷,剧情 动作 犯罪,法国美国,1994,9.4,2272509
千与千寻,剧情 动画 奇幻,日本,2001,9.4,2216629
美丽人生,剧情 喜剧 爱情 战争,意大利,1997,9.6,1311979
辛德勒的名单,剧情 历史 战争,美国,1993,9.6,1093270
星际穿越,剧情 科幻 冒险,美国英国加拿大,2014,9.4,1806259
盗梦空间,剧情 科幻 悬疑 冒险,美国英国,2010,9.4,2037262
楚门的世界,剧情 科幻,美国,1998,9.4,1678659
忠犬八公的故事,剧情,美国英国,2009,9.4,1385909
海上钢琴师,剧情 音乐,意大利,1998,9.3,1659611
三傻大闹宝莱坞,剧情 喜剧 爱情 歌舞,印度,2009,9.2,1839516
放牛班的春天,剧情 音乐,法国瑞士德国,2004,9.3,1295920
机器人总动员,科幻 动画 冒险,美国,2008,9.3,1301479
无间道,剧情 犯罪 惊悚,中国香港,2002,9.3,1345204
疯狂动物城,喜剧 动画 冒险,美国,2016,9.2,1905574
控方证人,剧情 犯罪 悬疑,美国,1957,9.6,543797
大话西游之大圣娶亲,喜剧 爱情 奇幻 古装,中国香港中国大陆,1995,9.2,1516795
熔炉,剧情,韩国,2011,9.4,921669
教父,剧情 犯罪,美国,1972,9.3,954083
触不可及,剧情 喜剧,法国,2011,9.3,1097770
当幸福来敲门,剧情 传记 家庭,美国,2006,9.2,1502755
怦然心动,剧情 喜剧 爱情,美国,2010,9.1,1811851
龙猫,动画 奇幻 冒险,日本,1988,9.2,1251159
末代皇帝,剧情 传记 历史,英国意大利中国大陆法国,1987,9.3,869206
寻梦环游记,喜剧 动画 奇幻 音乐,美国,2017,9.1,1653700
活着,剧情 历史 家庭,中国大陆中国香港,1994,9.3,832765
蝙蝠侠：黑暗骑士,剧情 动作 科幻 犯罪 惊悚,美国英国,2008,9.2,1042690
哈利·波特与魔法石,奇幻 冒险,美国英国,2001,9.2,1171454
指环王3：王者无敌,剧情 动作 奇幻 冒险,美国新西兰,2003,9.3,792862
乱世佳人,剧情 历史 爱情 战争,美国,1939,9.3,682513
我不是药神,剧情 喜剧,中国大陆,2018,9.0,2076327
素媛,剧情,韩国,2013,9.3,678304
飞屋环游记,剧情 喜剧 动画 冒险,美国,2009,9.1,1308201
哈尔的移动城堡,动画 奇幻 冒险,日本,2004,9.1,1009494
十二怒汉,剧情,美国,1957,9.4,482845
何以为家,剧情,黎巴嫩美国法国塞浦路斯卡塔尔英国,2018,9.1,1032178
摔跤吧！爸爸,剧情 传记 运动 家庭,印度,2016,9.0,1552294
让子弹飞,剧情 喜剧 动作 西部,中国大陆中国香港,2010,9.0,1678119
鬼子来了,剧情 喜剧,中国大陆,2000,9.3,618956
猫鼠游戏,传记 犯罪 剧情,美国加拿大,2002,9.1,1007347
少年派的奇幻漂流,剧情 奇幻 冒险,美国中国台湾英国加拿大,2012,9.1,1335399
海蒂和爷爷,剧情 冒险 家庭,德国瑞士,2015,9.3,598047
钢琴家,剧情 传记 战争 音乐,英国法国波兰德国,2002,9.3,628057
大话西游之月光宝盒,喜剧 爱情 奇幻 古装,中国香港中国大陆,1995,9.0,1207839
天空之城,动画 奇幻 冒险,日本,1986,9.2,812672
指环王2：双塔奇兵,剧情 动作 奇幻 冒险,美国新西兰,2002,9.2,742903
闻香识女人,剧情,美国,1992,9.1,872121
罗马假日,喜剧 剧情 爱情,美国,1953,9.1,939675
天堂电影院,剧情 爱情,意大利法国,1988,9.2,672933
死亡诗社,剧情,美国,1989,9.2,713977
绿皮书,剧情 喜剧 传记 音乐,美国中国大陆,2018,8.9,1626025
大闹天宫,剧情 动画 奇幻 古装,中国大陆,1978,9.4,430729
指环王1：护戒使者,剧情 动作 奇幻 冒险,新西兰美国,2001,9.1,835887
黑客帝国,动作 科幻,美国,1999,9.1,828054
教父2,剧情 犯罪,美国,1974,9.3,544637
狮子王,动画 冒险 歌舞,美国,1994,9.1,827952
辩护人,剧情,韩国,2013,9.2,583124
饮食男女,剧情 家庭,中国台湾美国,1994,9.2,612922
搏击俱乐部,剧情 动作 悬疑 惊悚,美国,1999,9.0,836348
美丽心灵,传记 剧情,美国,2001,9.1,760504
本杰明·巴顿奇事,剧情 爱情 奇幻,美国,2008,9.0,970815
穿条纹睡衣的男孩,剧情 战争,英国美国,2008,9.2,556145
窃听风暴,剧情 悬疑,德国,2006,9.2,558130
情书,剧情 爱情,日本,1995,8.9,1097788
两杆大烟枪,剧情 喜剧 犯罪,英国,1998,9.1,588841
西西里的美丽传说,剧情 战争 情色,意大利美国,2000,8.9,964346
音乐之声,剧情 传记 爱情 歌舞,美国,1965,9.1,594047
看不见的客人,剧情 犯罪 悬疑 惊悚,西班牙,2016,8.8,1240881
阿凡达,动作 科幻 冒险,美国,2009,8.8,1405611
拯救大兵瑞恩,剧情 战争,美国,1998,9.1,639153
小鞋子,剧情 儿童 家庭,伊朗,1997,9.2,406237
飞越疯人院,剧情,美国,1975,9.1,540387
哈利·波特与死亡圣器(下),奇幻 冒险,美国英国,2011,9.0,818780
沉默的羔羊,剧情 犯罪 惊悚,美国,1991,8.9,876841
布达佩斯大饭店,剧情 喜剧 冒险,美国德国英国,2014,8.9,917354
禁闭岛,剧情 悬疑 惊悚,美国,2010,8.9,961384
蝴蝶效应,剧情 悬疑 科幻 惊悚,美国加拿大,2004,8.9,924888
致命魔术,剧情 悬疑 惊悚,英国美国,2006,8.9,845631
功夫,动作 喜剧 犯罪 奇幻,中国大陆中国香港,2004,8.8,1110902
心灵捕手,剧情,美国,1997,8.9,703015
海豚湾,纪录片,美国,2009,9.3,354284
哈利·波特与阿兹卡班的囚徒,奇幻 冒险,英国美国,2004,8.9,715224
低俗小说,剧情 喜剧 犯罪,美国,1994,8.9,823795
春光乍泄,剧情 爱情 同性,中国香港日本韩国,1997,9.0,625164
美国往事,犯罪 剧情,美国意大利,1984,9.2,406829
摩登时代,剧情 喜剧 爱情,美国,1936,9.3,296609
超脱,剧情,美国,2011,9.0,587980
喜剧之王,喜剧 剧情 爱情,中国香港,1999,8.8,957672
致命ID,剧情 悬疑 惊悚,美国,2003,8.9,812353
杀人回忆,剧情 动作 犯罪 悬疑 惊悚,韩国,2003,8.9,702232
七宗罪,剧情 犯罪 悬疑 惊悚,美国,1995,8.8,932356
红辣椒,动画 悬疑 科幻 惊悚,日本,2006,9.1,455693
加勒比海盗,动作 冒险 奇幻,美国,2003,8.8,846565
哈利·波特与密室,奇幻 冒险,英国美国,2002,8.8,742717
狩猎,剧情,丹麦瑞典,2012,9.1,384103
一一,剧情 爱情 家庭,中国台湾日本,2000,9.1,386245
7号房的礼物,剧情 喜剧 家庭,韩国,2013,8.9,550777
被嫌弃的松子的一生,剧情 歌舞,日本,2006,8.9,696716
唐伯虎点秋香,喜剧 爱情 古装,中国香港,1993,8.7,1064737
请以你的名字呼唤我,剧情 爱情 同性,意大利法国巴西美国,2017,8.9,712291
断背山,剧情 爱情 同性 家庭,美国加拿大,2005,8.8,700369
剪刀手爱德华,剧情 奇幻 爱情,美国,1990,8.7,1024828
入殓师,剧情,日本,2008,8.9,657070
爱在黎明破晓前,剧情 爱情,美国奥地利瑞士,1995,8.8,672478
勇敢的心,动作 传记 剧情 历史 战争,美国,1995,8.9,554549
第六感,剧情 悬疑 惊悚,美国,1999,8.9,548950
重庆森林,剧情 爱情,中国香港,1994,8.8,800170
蝙蝠侠：黑暗骑士崛起,剧情 动作 科幻 犯罪 惊悚,美国英国,2012,8.8,709591
幽灵公主,动画 奇幻 冒险,日本,1997,8.9,517068
超能陆战队,喜剧 动作 科幻 动画 冒险,美国,2014,8.7,998198
爱在日落黄昏时,剧情 爱情,美国法国,2004,8.9,551787
菊次郎的夏天,剧情 喜剧,日本,1999,8.9,588082
甜蜜蜜,剧情 爱情,中国香港,1996,8.9,543124
天使爱美丽,剧情 喜剧 爱情,法国德国,2001,8.7,948586
阳光灿烂的日子,剧情 爱情,中国大陆中国香港,1994,8.9,607528
小森林 夏秋篇,剧情,日本,2014,9.0,420834
借东西的小人阿莉埃蒂,动画 奇幻 冒险,日本,2010,8.9,545719
完美的世界,剧情 犯罪,美国,1993,9.1,310595
无人知晓,剧情,日本,2004,9.1,314580
消失的爱人,剧情 犯罪 悬疑 惊悚,美国,2014,8.7,921544
